ticker,date,title,publication,llm_response
GAZP,2025-09-06 18:53:00,"Вести с Востока, разочарование «Газпрома» и разговоры о рецессии – итоги недели","На уходящей неделе взгляд инвесторов был обращен на Восток. Сначала состоялся визит Владимира Путина и представителей крупного бизнеса в Китай, потом – Восточный экономический форум. Путин прибыл в Китай еще в конце прошлой недели, но основные мероприятия проходили в течение последних дней. Главным итогом визита можно назвать соглашения в газовой сфере. Кроме того, президент России принял участие в параде Победы в Пекине, посвященном 80-летию окончания Второй мировой войны, и посетил саммит Шанхайской организации сотрудничества. В рамках визита в Китай глава РФ провел переговоры с председателем КНР Си Цзиньпином и другими мировыми лидерами – президентами Белоруссии, Узбекистана, Турции и Сербии, премьер-министрами Словакии, Индии, Пакистана и лидером КНДР Ким Чен Ыном. Одним из итогов российско-китайских переговоров стало введение Китаем безвизового режима для граждан России с обычным загранпаспортом сроком до 30 суток, он будет действовать с 15 сентября. Соглашение взаимное, китайцам для поездок в Россию визы тоже будут не нужны. Сегодня завершается Восточный экономический форум, но уже можно подвести его итоги. По предварительным данным, в рамках форума были подписаны 283 соглашения на общую сумму свыше 6,4 трлн рублей. На форуме говорили о развитии Дальнего Востока и обсудили ситуацию в экономике России. «Газпром» мог бы стать «звездой» на этой неделе, но не сложилось. Акции падали. Компания подписала подписал меморандум по «Силе Сибири-2». Проект предполагает поставку до 50 млрд кубометров газа в год в Китай сроком на 30 лет, транзит – через территорию Монголии, которая уже выразила готовность приступить к строительству газопровода. Также «Газпром» подписал четыре документа с CNPC, включая соглашение о стратегическом сотрудничестве. Кроме того, «Газпром» договорился с CNPC о росте поставок по дальневосточному маршруту. Почему рынок не обрадовался договоренностям «Газпрома», рассказали в статье «Новая жизнь «Газпрома». Почему рынок не рад соглашениям с Китаем?». Позитивно на договоренности «Газпрома» отреагировали акции ТМК, они неплохо росли почти всю неделю. Для «НОВАТЭКа» прошедшая неделя тоже была значимой. Компания подтвердила начало отгрузок с «Арктик СПГ 2» в Китай. Эти новости поддержали акции компании. Рекорды золота и серебра. На прошедшей неделе золото продолжило переписывать исторические максимумы. Теперь пик находится на отметке $3655,5. По мнению экспертов, это еще не предел. Поддержку драгметаллу оказывает последняя статистика из США. Аналитики Goldman Sachs прогнозируют рост цены до $5000, если независимость ФРС будет подорвана, а инвесторы переведут хотя бы небольшую часть своих активов из казначейских облигаций в слитки, пишет Bloomberg. Серебро на этой неделе превысило $42 впервые с 2011 года, вероятно, на волне роста золота. В условиях нестабильности и инфляции золото остаётся одним из самых надёжных активов. Инвестируйте в драгметаллы на Московской бирже без уплаты НДС. Сделки осуществляются от 1 грамма золота, платины и палладия или 100 грамм серебра.После паузы на прошлой неделе в Россию вновь вернулась недельная дефляция. За период с 26 августа по 1 сентября дефляция составила 0,08%. Годовая инфляция на 1 сентября, по данным Росстата, замедлилась до 8,28% с 8,43% неделей ранее. Эти данные ЦБ будет учитывать на ближайшем заседании 12 сентября, но до этого момента должна выйти ещё одна порция статистики. Эксперты «Финама» считают, что сейчас баланс факторов складывается в пользу снижения ставки ЦБ ‒ до 16,5%.На этой неделе ЦБ опубликовал Основные направления ДКП на 2026-2028 года, где озвучил альтернативные сценарии развития экономики. Помимо базового, Банк России учитывает дезинфляционный, проинфляционный и рисковый сценарии. Рисковый сценарий предполагает мировой кризис и падение цены нефти до $30-35 за баррель Urals. На Восточном экономическом форуме представители бизнеса и властей оценили текущую ситуацию в экономике и дали свои прогнозы. Экономика России охлаждается быстрее, чем ожидалось, заявил министр экономического развития Максим Решетников. По словам главы «Сбера» Германа Грефа, российская экономика во втором квартале вошла в стадию «технической стагнации» и начнет оживать только при ключевой ставке в 12%. Точку в этой дискуссии поставил президент Владимир Путин. По его словам, стагнации в экономике России нет. О том, что думают эксперты, читайте здесь.Новости эта неделя принесла и для валютного рынка. Минфин почти в 5 раз увеличит продажу валюты и золота по бюджетному правилу - до 1,4 млрд руб. в день в период с 5 сентября по 6 октября. Банк России при этом продолжит продажу юаней на 8,94 млрд рублей. Таким образом, продажи валюты и золота составят 10,34 млрд рублей в день. Валютный рынок пока реагирует на это достаточно спокойно, но в целом наблюдается тенденция к ослаблению рубля. Ozon на этой неделе подал документы для регистрации в качестве МКПАО «Озон». Компания ожидает, что процедура регистрации МКПАО в САР Октябрьский завершится в октябре 2025 года. Ближе к завершению процесса редомициляции торги акциями компании на Московской бирже будут временно приостановлены. Компания ожидает, что торги возобновятся до конца 2025 года. Привлекательность акций Ozon повысится после возобновления торгов, считают эксперты. Компании еще только предстоит пройти этот путь, а другой эмитент его уже завершает. Речь об «Эталоне». Акции компании вернутся к торгам после редомициляции 8 сентября. О том, что думают эксперты читайте здесь. «ДОМ.РФ» готовится к проведению IPO, на этой неделе компания получила статус ПАО. IPO может пройти уже в ноябре.Минфин на днях предложил упростить получение статуса «суперквала» в рамках эксперимента по организованным торгам криптовалютой. Ведомство считает это возможным. О смерти и бессмертии. На этой неделе заставил всех переживать президент США Дональд Трамп. Он на несколько дней пропал с радаров СМИ, в результате чего поползли слухи о его болезни и даже смерти. Трамп назвал эти слухи «сумасшедшими». «Я не делал ничего два дня, а все уже начали говорить, что со мной что-то не так. Байден ничего не делал месяцами, и никто ничего не говорил», - заявил Трамп. Пока все рассуждали о возможных последствиях смерти Трампа, Путин и Си Цзиньпин успели побеседовать о бессмертии. Их разговор был неофициальным, но его засекли камеры. Они обсуждали возможность дожить до 150 лет. Си Цзиньпин в беседе отметил, что раньше люди редко доживали до 70 лет, но «сегодня в 70 лет ты все ещё ребенок». Путин в свою очередь подчеркнул, что с развитием биотехнологий человеческие органы можно постоянно пересаживать, и люди смогут жить всё моложе и моложе и даже достичь бессмертия. Прогнозы таковы, что в этом веке есть шанс дожить до 150 лет, добавил Си Цзиньпин. Их беседу приводит Bloomberg. О том, как заработать на технологиях, продлевающих жизнь человека, читайте в материале «Люди хотят жить дольше. Как инвестору на этом заработать?».","(-2, 2)"
GAZP,2025-09-05 19:11:00,Российские инвесторы ждут заседание ЦБ и встречу Трампа и Путина,"В пятницу, 5 сентября, российский рынок закрылся в «зелёной зоне» на фоне геополитических новостей из США, что Трамп вновь планирует пообщаться с Путиным. Также Дмитрий Песков подтвердил, что в ближайшее время возможен второй раунд переговоров президентов России и США. На фоне ожидания заседания ЦБ в пятницу, где планируется снижение ключевой ставки на 1 п. п., новостной поток может поддержать рынок акций.ВТБ подтвердил планы о привлечении 80–100 млрд рублей в ходе допэмиссии акций, несмотря на текущие условия рынка, сообщил глава банка Андрей Костин на ВЭФ-2025. Цена допэмиссии пока не определена и будет установлена позже. Основными участниками размещения станут стратегические инвесторы. После размещения доля государства в капитале снизится до 50%+1 акция. Сбор заявок по преимущественному праву проходит с 28 августа по 9 сентября, участвовать могут акционеры, владевшие акциями на 11 августа. Набсовет ВТБ ранее одобрил увеличение уставного капитала через выпуск 1,264 млрд акций.Также, ВТБ планирует конвертировать привилегированные акции в обыкновенные в 2026 году. Решение вопроса будет обсуждаться в начале следующего года. Сейчас значительная часть капитала банка представлена ""префами"" двух типов на 521 млрд рублей, полностью принадлежащих государству. ВТБ считает, что конвертация не приведёт к существенному размытию, так как по дивидендам всегда соблюдался паритет. Вопрос оценки ""префов"" остаётся ключевым при подготовке сделки.Акции компании отреагировали небольшим ростом на 0,04%.«Русснефть» за январь–июль добыла 3,573 млн тонн нефти и 1,2 млрд куб. м газа — оба показателя превысили план. По итогам года ожидается перевыполнение плана на 69 тыс. тонн нефти и 63 млн куб. м газа. Введено 85 новых скважин, до конца года планируют ещё 29. Капзатраты по итогам года составят 28,9 млрд рублей, прирост запасов — 8 млн тонн. Компания продолжает развивать Восточно-Каменное месторождение, где темпы добычи достигли 750 тыс. тонн в год. В Ханты-Мансийском филиале строятся новые объекты для оптимизации логистики. Акции выросли на 0,17%.По итогам торгов индекс МосБиржи вырос на 0,97%, а долларовый индекс РТС на 0,65%.Среди лидеров ТМК (+2,56%), Совкомфлот (+2,07%), Роснефть (+1,94%). Среди лидеров падения сегодня ДВМП (-4,75%), РусГидро (-2,85%), Фармсинтез (-1,56%).Инвесторам, интересующимся российским рынком акций, мы по традиции рекомендуем обратить внимание на стратегию «RU. Капитал и дивиденды».Индекс МосБиржиИндекс протестировал уровень 2850 пунктов и закрыл неделю выше уровня 2900 пунктов. При закрытии понедельника выше 2900 пунктов возможен рост до 3000 пунктов.Сезон неоднозначных отчётностей на американском рынке продолжаетсяФондовые индексы США снижаются: Dow Jones на 0,62%, S&P 500 на 0,54%, Nasdaq Composite на 0,29%.Инвесторы анализируют слабые данные рынка труда США за август: число новых рабочих мест выросло лишь на 22 тыс. при прогнозе 75 тыс., безработица составила 4,3%. Эти показатели усилили ожидания снижения ставки ФРС в сентябре: вероятность снижения на 25 б.п. оценивается в 84%, на 50 б.п. — в 16%.Среди корпоративных отчётов стоит выделить:Рыночная стоимость Broadcom увеличивается на 9,23%. Компания нарастила выручку в 3-м финквартале на 22% и дала сильный прогноз, став лидером роста в S&P 500.Канадская Lululemon Athletica теряет 18,32% капитализации после неоднозначной отчетности: во 2-м квартале 2025 фингода снизилась чистая прибыль, выручка выросла, но оказалась хуже прогнозов.Акции DocuSign растут на 5,12%. Несмотря на снижение чистой прибыли во 2-м финквартале, так как скорректированный показатель превзошёл ожидания рынка.Рыночная стоимость Nvidia, чьи акции входят в состав стратегии «US. Сбалансированная», снижается на 2,98%. * Сообщение носит информационный характер, не является индивидуальной инвестиционной рекомендацией или предложением приобрести упомянутые ценные бумаги. Приобретение иностранных ценных бумаг связано с дополнительными рисками.","(2, 3)"
GAZP,2025-09-05 10:15:31,"На российском рынке акций осторожные покупки, в плюсе «НОВАТЭК» и «Газпром»","В пятницу, 5 сентября, российский рынок акций открылся в основную сессию ростом индексов. Инвесторы оценивают новости с ВЭФ, в том числе заявления президента России Владимира Путина, который отметил, что стагнации в экономики России нет и необходимо обеспечить ее мягкую спокойную посадку. Тем не менее, существуют опасения в отношении усиления санкционного давления после вчерашней встречи «коалиции желающих» в Париже, поэтому на рынке наблюдаются осторожные покупки. К 10:15 мск индексы растут на 0,59%. Индекс МосБиржи пребывает на уровне 2890,64 пункта, а РТС на отметке в 1120,1 пункта.В плюсе находятся акции «НОВАТЭКа» и «Газпрома», дорожающие на 0,3% и 0,4% соответственно. В кулуарах ВЭФ-2025 зампред правления «НОВАТЭКа» Евгений Амбросов подтвердил, что первые поставки СПГ с «Арктик СПГ-2» дошли до конечного покупателя в Китае. В то же время премьер-министр Монголии Гомбожавын Занданшатар заявил о том, что страна готова приступить к строительству «Силы Сибири-2», что поддержало рост в акциях «Газпрома». Более того, стало известно о том, что «Газпром» заключил соглашение с Казахстаном на полях ВЭФ об увеличении поставок российского газа в республику в 2025 и 2026 годах.В числе других фаворитов торгов находятся акции «ВУШ Холдинг», МТС и «СПБ Биржи», пребывающие в плюсе на 0,87%, 0,79% и 0,69% соответственно.Сделайте первые шаги в инвестициях с гарантированным пассивным доходом — и получайте ежедневную премию 36,6% годовых от «Финама» на ваши активы. Проведите 2025 год с идеальным финансовым здоровьем.Источник: finam.ru","(2, 4)"
GAZP,2025-09-05 09:14:06,«Газпром» заключил соглашение с Казахстаном об увеличении поставок газа,"«Газпром» заключил соглашение с Казахстаном на полях ВЭФ об увеличении поставок российского газа в республику в 2025 и 2026 годах. Об этом говорится в сообщении компании.«Алексей Миллер и Первый заместитель премьер-министра республики Казахстан Роман Скляр заключили соглашение об увеличении поставок российского газа в Казахстан в 2025 и 2026 годах», – сказано в сообщении.Также «Газпром» подписал меморандум с Монголией о сотрудничестве по изучению перспектив газификации Улан-Батора.","(2, 3)"
GAZP,2025-09-04 19:33:10,"«Газпром», «Совкофлот» и «СПБ Биржа» падают на санкционных опасениях","Российский рынок в четверг колеблется на фоне заявлений президента США Дональда Трампа, который требует от ЕС отказаться от закупок российской нефти. Кроме того, инвесторов настораживают заявления лидеров европейских стран по поводу санкций. В частности, президент Франции Эмманюэль Макрон обещает введение новых санкций по согласованию с США, если Россия будет отказываться от мирных переговоров. К завершению основной сессии индекс МосБиржи подрос на 0,21%, до 2873,70 пункта, РТС снизился на 0,34%, до 1113,54 пункта. Вечером к 19:23 мск рублевый индекс остается в плюсе на 0,10%.«Индекс МосБиржи продолжает консолидацию в широком диапазоне между уровнями 2600 и 3000 пунктов. Уровень поддержки в районе 2850 пунктов оказался достаточно прочным. На дневном фрейме умеренно восходящий тренд также не выглядит сломанным, а это значит, что шансы на возврат к 3000 пунктам сохраняются», - отметил аналитик «Финама» Алексей Калачев.Инвестировать выгоднее вместе с друзьями. Приглашайте друзей открыть брокерский счет в «Финаме» по вашей уникальной ссылке — и получайте подарок за каждого. Количество приглашенных не ограничено. Каждый ваш друг может получить дополнительно 1000 ₽ на свой брокерский счет, который откроет по вашей ссылке в «Финаме».Среди лидеров снижения – акции компаний, чувствительных к санкционной и геополитической тематике, в том числе «СПБ Биржа» (-1,72%), «Совкомфлот» (-1,66%), «Газпром» (-1,4%). В лидерах роста – «КАМАЗ» (+2,02%), «Мосэнерго» (+1,64%), префы «Сургутнефтегаза» (+0,95%).Рубль слегка слабеет. Ближайший фьючерс на доллар к завершению дневных торгов прибавил 0,52%, до 81,715 рубля, а вечером он в плюсе на 0,12%, до 81,796. Юань поднялся на 0,44%, до 11,346 рубля.Фьючерсы на нефть Brent дешевеют на 0,72%, до 67,11 доллара за баррель, WTI – на 0,58%, до 63,60 доллара.","(-2, 4)"
GAZP,2025-09-04 13:45:17,Путин попросил доложить ему о ситуации вокруг Южно-Киринского месторождения,"Президент России Владимир Путин попросил доложить ему о ситуации вокруг Южно-Киринского месторождения, передает «РИА Новости».«В перспективе одним из основных источников газа для Дальнего Востока должно стать Южно-Киринское месторождение на шельфе Сахалина. Хотел бы услышать сегодня, какая сейчас ситуация с его запуском», – сказал Путин в ходе совещания по развитию топливно-энергетического комплекса Дальнего Востока.Южно-Киринское месторождение открыто «Газпромом» в 2010 году. По данным сайта компании, планируемая проектная мощность составляет 21 млрд куб. м газа в год.Источник: сайт Кремля","(2, 3)"
GAZP,2025-09-04 09:47:32,"""Роснефть"" поставит Китаю еще 2,5 млн тонн нефти в год","«Роснефть» и китайские партнеры подписали соглашение о дополнительной поставке 2,5 млн тонн нефти в год через Казахстан, сообщило РИА «Новости» со ссылкой на министра энергетики РФ Сергея Цивилева. Этот контракт стал итогом переговоров, состоявшихся во время визита Владимира Путина в Китай.Правительство России ранее утвердило увеличение предельного объема поставок нефти на китайские НПЗ в западных регионах страны с 10 до 12,5 млн тонн в год вплоть до 2034 года. По словам вице-премьера Александра Новака, инициатором расширения выступила китайская сторона, а Россия подтвердила готовность обеспечить дополнительные объемы. Перечень технических решений для расширения экспорта определит «Транснефть».","(2, 3)"
GAZP,2025-09-04 09:16:17,"""Газпром"" собирается запустить пятую линию Амурского ГПЗ в ноябре","«Газпром» рассчитывает ввести в эксплуатацию пятую технологическую линию Амурского газоперерабатывающего завода (ГПЗ) уже в ноябре этого года. Об этом сообщило РИА «Новости» со ссылкой на презентацию заместителя председателя правления компании Виталия Маркелова на Восточном экономическом форуме. В настоящее время на заводе уже функционируют четыре технологические линии.Согласно данным из презентации Маркелова, старт отгрузки этана и сжиженных углеводородных газов (СУГ) с Амурского ГПЗ запланирован на вторую половину 2026 года. Запуск новой линии позволит компании увеличить производственные мощности одного из ключевых предприятий газовой отрасли России.","(2, 4)"
GAZP,2025-09-04 09:10:00,"Перспективы дивидендов ""Газпрома"" станут еще более туманными","Рынок накануне. Российские фондовые индексы продемонстрировали умеренный рост в среду после снижения в предыдущий день. Индекс МосБиржи прибавил 0,78%, восстановившись от уровня 2850 п. Индекс государственных облигаций RGBI повысился на 0,32%.Цены на нефть марки Brent снизились на 1,59% на фоне сообщений о возможном увеличении квот на добычу производителями ОПЕК+. Низкие цены на нефть и крепкий рубль обусловили слабые полугодовые результаты в нефтяном секторе. От низких нефтяных цен страдает и государственный бюджет: ожидается, что в сентябре недополученные нефтегазовые доходы составят 21 млрд руб. Отклонение фактически полученных нефтегазовых доходов от ожидаемого уровня за август, в свою очередь, составило 10,5 млрд руб.Индекс потребительских цен, по данным Росстата, за неделю с 26 августа по 1 сентября снизился на 0,08%, отражая замедление инфляции. Годовая инфляция на 1 сентября снизилась примерно до 8,3%. Цены на плодоовощную продукцию в целом уменьшились на 3,2%, при этом потребительские цены на бензин выросли на 0,30% за неделю и на 6,70% с начала года, продолжая значительно опережать общую инфляцию.Индекс PMI для сферы услуг России в августе вырос до 50 пунктов, указывая на стабилизацию деловой активности в услугах.Напряженность на рынке труда в ряде регионов постепенно снижается, несмотря на исторически низкую безработицу на уровне 2,2%. Это проинфляционный фактор, который может повлиять на решение Банка России по ключевой ставке на заседании на следующей неделе, консенсус ожидает снижение ставки до 16-17%.Новости, ожидания и торговые идеи. Лидеры В лидерах роста на торгах в среду оказались акции «РусГидро» (HYDR 0,4876 руб., +2,59%), АФК «Система» (AFKS 16,581 руб., +2,84%) и «Инарктики» (AQUA 600 руб., +3,63%), заметный рост показали бумаги «Аэрофлота» (AFLT 61,67 руб., +2,14%) и «Сегежа Групп» (SGZH 1,588 руб., +2,58%). Акции «ВУШ Холдинг» (WUSH 118,58 руб., -2,42%) оказались в лидерах снижения, достигнув очередного многомесячного минимума на фоне слабых ожиданий от бизнеса и слабого летнего сезона из-за прохладной погоды. Инвесторы по-прежнему не испытывают оптимизма и по отношению к акциям «Газпрома», несмотря на значимую новость для газовой отрасли о подписание меморандума между Газпромом и китайской CNPC о строительстве газопроводов «Сила Сибири – 2». Длинных денег на рынке сейчас нет, а в краткосрочной перспективе инвесторы видят рост капитальных затрат, что приведет к снижению свободного денежного потока, и перспективы дивидендов станут еще более туманными. Поэтому вряд ли стоит ожидать, что в текущей конъюнктуре, рынок сильно переоценит бумаги «Газпрома». Также остается открытым вопрос, по каким ценам будет отпускаться газ по трубопроводу «Сила Сибири – 2».","(-2, 3)"
GAZP,2025-09-04 09:09:13,"""Газпром"" намерен до 2030 года обустроить Южно-Киринское месторождение на ""Сахалине-3""","«Газпром» запланировал обустройство Южно-Киринского месторождения на проекте «Сахалин-3» в 2025-2029 годах. Об этом сообщает РИА «Новости» со ссылкой на презентацию заместителя председателя правления компании Виталия Маркелова на Восточном экономическом форуме, который проходит 3-6 сентября во Владивостоке. В числе приоритетных проектов на указанный период также обустройство Таас-Юряхского и Верхневилючанского нефтегазоконденсатных месторождений и месторождений Чонской группы. Южно-Киринское месторождение считается одним из ключевых для диверсификации газового экспорта и дальнейшего наращивания поставок на азиатские рынки, в том числе в рамках программы «Сахалин-3».","(2, 4)"
